lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,month_sin,month_cos,trend,target
120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,124.19540712824427,123.33920093722432,128.6041433170794,123.94316109366959,116.00584176874715,0.0,1.0,12,153.24966668853963
126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,124.19540712824427,123.33920093722432,128.6041433170794,123.94316109366959,0.49999999999999994,0.8660254037844387,13,143.51347453550864
153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,124.19540712824427,123.33920093722432,128.6041433170794,0.8660254037844386,0.5000000000000001,14,146.64186116237238
143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,124.19540712824427,123.33920093722432,1.0,6.123233995736766e-17,15,154.12669025067467
146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,124.19540712824427,0.8660254037844387,-0.4999999999999998,16,162.46959874904675
154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,137.8927604392759,0.49999999999999994,-0.8660254037844387,17,163.29304429099307
162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,140.4320003610411,1.2246467991473532e-16,-1.0,18,148.34010695554147
163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,117.57664770503395,-0.4999999999999997,-0.8660254037844388,19,115.49096058291457
148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,80.88935600001093,-0.8660254037844385,-0.5000000000000004,20,118.43170776439749
115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,67.37662823163159,-1.0,-1.8369701987210297e-16,21,116.19768049857389
118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,86.53304218616802,-0.8660254037844386,0.5000000000000001,22,152.81208056074408
116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,120.33060783477792,-0.5000000000000004,0.8660254037844384,23,182.22776145321447
152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,126.39975380288932,0.0,1.0,24,185.75209838208698
182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,153.24966668853963,0.49999999999999994,0.8660254037844387,25,177.5327681187027
185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,143.51347453550864,0.8660254037844386,0.5000000000000001,26,175.12619698993265
177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,146.64186116237238,1.0,6.123233995736766e-17,27,184.81895550819445
175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,154.12669025067467,0.8660254037844387,-0.4999999999999998,28,196.7615609877604
184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,162.46959874904675,0.49999999999999994,-0.8660254037844387,29,181.92305453169018
196.7615609877604,184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,163.29304429099307,1.2246467991473532e-16,-1.0,30,168.32659540102634
181.92305453169018,196.7615609877604,184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,148.34010695554147,-0.4999999999999997,-0.8660254037844388,31,145.2454378071511
168.32659540102634,181.92305453169018,196.7615609877604,184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,115.49096058291457,-0.8660254037844385,-0.5000000000000004,32,141.82676467748647
145.2454378071511,168.32659540102634,181.92305453169018,196.7615609877604,184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,118.43170776439749,-1.0,-1.8369701987210297e-16,33,153.2365108665176
141.82676467748647,145.2454378071511,168.32659540102634,181.92305453169018,196.7615609877604,184.81895550819445,175.12619698993265,177.5327681187027,185.75209838208698,182.22776145321447,152.81208056074408,116.19768049857389,-0.8660254037844386,0.5000000000000001,34,182.84298167231938
