purchase_value,device_id,source,browser,age,ip_address,class,country,time_since_signup,purchase_hour,purchase_dayofweek,signup_hour,device_id_freq,ip_address_freq,country_freq,source_freq,browser_freq,device_fraud_rate_train,country_fraud_rate_train
17.0,63600,0,2,26.0,640393973.192826,1,172,1.0,3,6,3,14,14,40823,41879,25624,0.714255789503538,0.1160862853923916
77.0,40988,2,4,27.0,32991978.3028664,0,88,402160.0,4,1,13,1,1,2872,42439,17196,0.09514333342787,0.1117729787975555
49.0,7642,0,2,40.0,9599053.27550806,0,167,2626434.0,13,3,3,1,1,15338,41879,25624,0.09514333342787,0.1050362288992092
31.0,50950,1,2,30.0,1425651369.9190302,1,59,3116559.0,1,5,23,1,1,349,21461,25624,0.2618100000945367,0.120256666668269
12.0,81347,2,2,25.0,35197330.8565312,0,171,9207372.0,19,3,5,1,1,3114,42439,25624,0.09514333342787,0.1319560307792777
14.0,62673,2,1,42.0,3195389558.14957,1,131,1.0,22,5,22,13,13,81,42439,17231,0.6983811111426234,0.3554751162856653
32.0,34654,2,1,25.0,2958460092.54041,1,153,1.0,23,6,23,7,7,754,42439,17231,0.5475716667139351,0.0850735968386919
59.0,107500,1,0,28.0,3445652471.12086,1,172,1.0,0,0,0,17,17,40823,21461,43149,0.7532209091166918,0.1160862853923916
53.0,36566,1,4,44.0,3529781318.88335,0,88,354216.0,9,4,6,1,1,2872,21461,17196,0.09514333342787,0.1117729787975555
18.0,1848,2,1,52.0,189160267.428294,1,172,1.0,13,6,13,11,11,40823,42439,17231,0.6606787500354513,0.1160862853923916
22.0,13534,2,4,36.0,9321653.8193861,0,167,4081795.0,0,2,18,1,1,15338,42439,17196,0.09514333342787,0.1050362288992092
54.0,60044,2,1,21.0,3780777072.15984,0,167,949744.0,1,4,1,1,1,15338,42439,17231,0.09514333342787,0.1050362288992092
35.0,109803,0,2,42.0,3182796711.6494603,0,107,3023849.0,22,0,22,2,1,781,41879,25624,0.08155142865246,0.1686652162857089
35.0,69441,2,4,35.0,702103903.8654982,0,123,8473607.0,12,6,10,1,1,49,42439,17196,0.09514333342787,0.0661270370475411
35.0,41191,0,0,32.0,1615058246.2684,0,172,6215376.0,14,2,16,1,1,40823,41879,43149,0.09514333342787,0.1160862853923916
55.0,110060,2,1,33.0,1040383013.88643,0,157,7583727.0,5,6,10,1,1,541,42439,17231,0.09514333342787,0.1054411355321744
27.0,132027,1,0,40.0,1239026347.83577,0,172,9963928.0,6,1,22,1,1,40823,21461,43149,0.09514333342787,0.1160862853923916
41.0,43871,1,0,31.0,3742090772.94454,1,36,9229898.0,6,3,10,2,1,8334,21461,43149,0.2244085715096029,0.1040377575249511
52.0,109129,1,2,30.0,1495915602.80314,0,138,6088963.0,5,4,17,1,1,350,21461,25624,0.09514333342787,0.0663967887339921
30.0,3255,0,0,29.0,2357949148.93109,0,172,4803294.0,10,0,19,1,1,40823,41879,43149,0.09514333342787,0.1160862853923916
51.0,60120,2,0,35.0,3192958774.63238,0,50,1197585.0,12,3,15,2,1,33,42439,43149,0.08155142865246,0.0413384210675584
10.0,83089,1,4,32.0,2564988175.48183,0,148,54544.0,14,1,23,1,1,145,21461,17196,0.09514333342787,0.0838057333371148
25.0,30255,0,4,34.0,3643254569.72091,0,171,4136047.0,17,6,20,1,1,3114,41879,17196,0.09514333342787,0.1319560307792777
108.0,19844,1,1,25.0,4291365031.33581,0,167,1206393.0,12,4,13,1,1,15338,21461,17231,0.09514333342787,0.1050362288992092
31.0,34700,2,0,26.0,645554443.4164879,1,172,1.0,0,3,0,8,8,40823,42439,43149,0.5823738461974786,0.1160862853923916
9.0,49398,2,1,31.0,1514195464.1422696,0,60,7332779.0,14,0,18,1,1,2199,42439,17231,0.09514333342787,0.1182263430129615
30.0,131483,1,1,29.0,634664958.2772889,0,14,1437758.0,21,0,6,1,1,48,21461,17231,0.09514333342787,0.0485067924635324
17.0,76350,1,3,18.0,3574282994.32394,1,60,1.0,5,0,5,12,12,2199,21461,2579,0.6806388235627777,0.1182263430129615
45.0,64657,0,1,37.0,1312950324.0522,0,156,5850520.0,15,3,22,1,1,764,41879,17231,0.09514333342787,0.150287204161986
62.0,82901,2,4,19.0,4054010608.9793296,0,167,4125539.0,20,5,2,1,1,15338,42439,17196,0.09514333342787,0.1050362288992092
69.0,36789,2,4,30.0,3309725542.579489,1,151,1.0,0,2,0,12,12,596,42439,17196,0.6806388235627777,0.1024473544102616
33.0,118712,1,4,18.0,3835502661.7612295,0,167,1276069.0,7,2,13,1,1,15338,21461,17196,0.09514333342787,0.1050362288992092
38.0,6140,0,1,43.0,3208133589.92271,0,24,4038659.0,10,4,17,1,1,2068,41879,17231,0.09514333342787,0.1112256922337516
50.0,85041,1,0,31.0,128646542.730506,0,172,5461863.0,11,6,6,1,1,40823,21461,43149,0.09514333342787,0.1160862853923916
25.0,95966,2,4,32.0,2968722521.9390697,0,82,724150.0,16,2,7,1,1,1356,42439,17196,0.09514333342787,0.1018154739166548
32.0,88610,2,2,42.0,2918969285.8243604,0,172,6478897.0,6,3,6,1,1,40823,42439,25624,0.09514333342787,0.1160862853923916
64.0,38282,0,1,25.0,4182666576.6819296,0,167,5623706.0,2,5,0,1,1,15338,41879,17231,0.09514333342787,0.1050362288992092
13.0,120550,0,4,30.0,515299474.67247695,1,172,1.0,12,6,12,12,12,40823,41879,17196,0.6806388235627777,0.1160862853923916
12.0,22755,2,2,32.0,1208132150.47965,0,172,9117210.0,14,3,1,1,1,40823,42439,25624,0.09514333342787,0.1160862853923916
17.0,72864,0,2,39.0,2097534632.76267,0,132,6699314.0,18,5,6,1,1,112,41879,25624,0.09514333342787,0.047614188039036
